#MsgID    Audience Date       Time(milli)  PID   TID   Quoted 
000002B9 Prog.    2019-11-22 00:00:15.995   697   707 "SYS: LPT=17 APT=0 PU=  0% MU= 42% MAL=1480912896 MMP=1479704576 SBK=1208320 TOT=1446724K RAM=15000276K SWP=20992K"
000002BA Prog.    2019-11-22 00:00:15.996   697   707 "DSK: [nvme0n1] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sdb] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sda] r/s=0.0 kr/s=0.0 w/s=4.3 kw/s=55.5 bsy=0 NIC: [eth0] rxp/s=0.2 rxk/s=0.0 txp/s=0.2 txk/s=0.0 rxerrs=0 rxdrps=0 txerrs=0 txdrps=0 CPU: usr=0 sys=0 iow=0 idle=99"
000002BB Prog.    2019-11-22 00:01:15.997   697   707 "SYS: LPT=17 APT=0 PU=  0% MU= 42% MAL=1480912896 MMP=1479704576 SBK=1208320 TOT=1446724K RAM=15009164K SWP=20992K"
000002BC Prog.    2019-11-22 00:01:15.998   697   707 "DSK: [nvme0n1] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sdb] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sda] r/s=0.0 kr/s=0.0 w/s=5.4 kw/s=46.0 bsy=0 NIC: [eth0] rxp/s=0.1 rxk/s=0.0 txp/s=0.1 txk/s=0.0 rxerrs=0 rxdrps=0 txerrs=0 txdrps=0 CPU: usr=0 sys=0 iow=0 idle=99"
000002BD Prog.    2019-11-22 00:02:16.000   697   707 "SYS: LPT=17 APT=0 PU=  0% MU= 42% MAL=1480912896 MMP=1479704576 SBK=1208320 TOT=1446724K RAM=14994036K SWP=20992K"
000002BE Prog.    2019-11-22 00:02:16.001   697   707 "DSK: [nvme0n1] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sdb] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sda] r/s=0.0 kr/s=0.0 w/s=3.6 kw/s=38.0 bsy=0 NIC: [eth0] rxp/s=0.2 rxk/s=0.0 txp/s=0.2 txk/s=0.0 rxerrs=0 rxdrps=0 txerrs=0 txdrps=0 CPU: usr=0 sys=0 iow=0 idle=99"
000002BF Prog.    2019-11-22 00:03:16.002   697   707 "SYS: LPT=17 APT=0 PU=  0% MU= 43% MAL=1480912896 MMP=1479704576 SBK=1208320 TOT=1446724K RAM=15025216K SWP=20992K"
000002C0 Prog.    2019-11-22 00:03:16.003   697   707 "DSK: [nvme0n1] r/s=0.0 kr/s=0.0 w/s=0.3 kw/s=2.0 bsy=0 [sdb] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sda] r/s=0.0 kr/s=0.1 w/s=3.2 kw/s=46.5 bsy=0 NIC: [eth0] rxp/s=0.2 rxk/s=0.0 txp/s=0.2 txk/s=0.0 rxerrs=0 rxdrps=0 txerrs=0 txdrps=0 CPU: usr=0 sys=0 iow=0 idle=99"
000002C1 Prog.    2019-11-22 00:04:16.005   697   707 "SYS: LPT=17 APT=0 PU=  0% MU= 43% MAL=1480912896 MMP=1479704576 SBK=1208320 TOT=1446724K RAM=15016464K SWP=20992K"
000002C2 Prog.    2019-11-22 00:04:16.006   697   707 "DSK: [nvme0n1] r/s=0.0 kr/s=0.0 w/s=1.0 kw/s=4.9 bsy=0 [sdb] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sda] r/s=0.0 kr/s=0.0 w/s=4.4 kw/s=66.1 bsy=0 NIC: [eth0] rxp/s=0.2 rxk/s=0.0 txp/s=0.1 txk/s=0.0 rxerrs=0 rxdrps=0 txerrs=0 txdrps=0 CPU: usr=0 sys=0 iow=0 idle=99"
000002C3 Prog.    2019-11-22 00:05:16.008   697   707 "SYS: LPT=17 APT=0 PU=  1% MU= 43% MAL=1480912896 MMP=1479704576 SBK=1208320 TOT=1446724K RAM=15088788K SWP=20992K"
000002C4 Prog.    2019-11-22 00:05:16.008   697   707 "DSK: [nvme0n1] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sdb] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sda] r/s=14.0 kr/s=369.7 w/s=32.7 kw/s=2768.5 bsy=5 NIC: [eth0] rxp/s=0.2 rxk/s=0.0 txp/s=0.2 txk/s=0.0 rxerrs=0 rxdrps=0 txerrs=0 txdrps=0 CPU: usr=0 sys=0 iow=0 idle=98"
000002C5 Prog.    2019-11-22 00:06:16.010   697   707 "SYS: LPT=17 APT=0 PU=  0% MU= 43% MAL=1480912896 MMP=1479704576 SBK=1208320 TOT=1446724K RAM=15026040K SWP=20992K"
000002C6 Prog.    2019-11-22 00:06:16.011   697   707 "DSK: [nvme0n1] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sdb] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sda] r/s=0.0 kr/s=0.0 w/s=5.8 kw/s=241.3 bsy=0 NIC: [eth0] rxp/s=0.2 rxk/s=0.0 txp/s=0.2 txk/s=0.0 rxerrs=0 rxdrps=0 txerrs=0 txdrps=0 CPU: usr=0 sys=0 iow=0 idle=99"
000002C7 Prog.    2019-11-22 00:07:16.013   697   707 "SYS: LPT=17 APT=0 PU=  0% MU= 43% MAL=1480912896 MMP=1479704576 SBK=1208320 TOT=1446724K RAM=15041436K SWP=20992K"
000002C8 Prog.    2019-11-22 00:07:16.013   697   707 "DSK: [nvme0n1] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sdb] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sda] r/s=0.0 kr/s=0.0 w/s=4.7 kw/s=96.1 bsy=0 NIC: [eth0] rxp/s=0.1 rxk/s=0.0 txp/s=0.1 txk/s=0.0 rxerrs=0 rxdrps=0 txerrs=0 txdrps=0 CPU: usr=0 sys=0 iow=0 idle=99"
000002C9 Prog.    2019-11-22 00:08:16.015   697   707 "SYS: LPT=17 APT=0 PU=  1% MU= 43% MAL=1480912896 MMP=1479704576 SBK=1208320 TOT=1446724K RAM=15079588K SWP=20996K"
000002CA Prog.    2019-11-22 00:08:16.016   697   707 "DSK: [nvme0n1] r/s=14.2 kr/s=303.5 w/s=0.7 kw/s=34.2 bsy=0 [sdb] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sda] r/s=104.5 kr/s=482.7 w/s=8.6 kw/s=145.4 bsy=4 NIC: [eth0] rxp/s=0.2 rxk/s=0.0 txp/s=0.2 txk/s=0.0 rxerrs=0 rxdrps=0 txerrs=0 txdrps=0 CPU: usr=1 sys=0 iow=0 idle=98"
000002CB Prog.    2019-11-22 00:09:16.018   697   707 "SYS: LPT=17 APT=0 PU=  3% MU= 44% MAL=1480912896 MMP=1479704576 SBK=1208320 TOT=1446724K RAM=15472104K SWP=20996K"
000002CC Prog.    2019-11-22 00:09:16.019   697   707 "DSK: [nvme0n1] r/s=5.0 kr/s=624.2 w/s=7.8 kw/s=671.4 bsy=2 [sdb] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sda] r/s=1174.4 kr/s=5010.0 w/s=4.7 kw/s=53.6 bsy=55 NIC: [eth0] rxp/s=0.2 rxk/s=0.0 txp/s=0.2 txk/s=0.0 rxerrs=0 rxdrps=0 txerrs=0 txdrps=0 CPU: usr=0 sys=0 iow=2 idle=96"
000002CD Prog.    2019-11-22 00:10:16.020   697   707 "SYS: LPT=17 APT=0 PU=  1% MU= 45% MAL=1480912896 MMP=1479704576 SBK=1208320 TOT=1446724K RAM=15749072K SWP=20996K"
000002CE Prog.    2019-11-22 00:10:16.021   697   707 "DSK: [nvme0n1] r/s=345.4 kr/s=2551.3 w/s=2.6 kw/s=1014.5 bsy=5 [sdb] r/s=0.0 kr/s=0.0 w/s=0.0 kw/s=0.0 bsy=0 [sda] r/s=503.8 kr/s=2090.0 w/s=3.2 kw/s=34.7 bsy=28 NIC: [eth0] rxp/s=0.2 rxk/s=0.0 txp/s=0.2 txk/s=0.0 rxerrs=0 rxdrps=0 txerrs=0 txdrps=0 CPU: usr=0 sys=0 iow=0 idle=98"
000002CF Prog.    2019-11-22 00:11:16.023   697   707 "SYS: LPT=17 APT=0 PU=  0% MU= 45% MAL=1480912896 MMP=1479704576 SBK=1208320 TOT=1446724K RAM=15754480K SWP=20996K"
